content,actual_label,actual_name,predicted_label,predicted_name,prob_normal,prob_smishing
국회의원들 답답해 머하는건지ㅜㅜ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
애미없는짱깨 떼놈들ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
요년도 닭년머리하고 똑갇군아,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
개똥싸는 소리하구있네! 웃기지도 않네,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
99억에계약하는거아닌가ㅋㅋ백억이러면사람들ㅇ이욕하니까,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
단두대를 단 두대만 설치해달라!!,1,일반 문자,2,피싱/스미싱 문자,0.3732733450764456,0.6267266549235547
닭정권의 마무리기술,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
시청률도 찬란하였다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
구라치고있네 게토레이들,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
두산의 오버맨들때문에우리의 서승화선수 주눅들면 안됩니다..,1,일반 문자,2,피싱/스미싱 문자,0.04100697066963395,0.9589930293303652
꼴갑들한다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
정신나간애들이많네..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
과한 영어사용 눈살찌푸려지는건 나뿐인가,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
검.경은 몇명이나 희생됐는지?,1,일반 문자,2,피싱/스미싱 문자,0.12761716810201837,0.8723828318979812
윤균상나오면 안본다,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
유행지난지가 언젠데ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
일주일에 몇시간 일하는데. 아직배도 안불러놓고. 광복절에 일본가있고 언플작작해라.,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
새벽12시에 눈온대매?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
백구가 무더위에 지쳤어요 비와야해요!!!꼭,1,일반 문자,2,피싱/스미싱 문자,0.30725178503498296,0.6927482149650169
개떡같이 생겨가지구 거짓말은..,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
할건하고가소,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
도깨비 진짜잼있어용,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
이런애들만 있냐ㅡㅡ,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
가입하면 *만입금하면 또 *만ngg⑤.com디오_℃A_Sl_N★,2,피싱/스미싱 문자,1,일반 문자,0.8782844026923938,0.12171559730760641
축구 크로스 승패┿언옵가능미겜.가상 바.캬랴 술롯쳣갑포**%┿치킨tel mon***㉸똑 돋보기 몬실장검색,2,피싱/스미싱 문자,1,일반 문자,0.5993727039407711,0.40062729605923053
한나라의대통령으로써 부끄럽지도않냐?,1,일반 문자,2,피싱/스미싱 문자,0.3542576837587185,0.6457423162412814
HOTELKBO 개막 기념첫 **%**.****:** ~ **:**hoho**.ⓒoM,2,피싱/스미싱 문자,1,일반 문자,0.734791108808872,0.26520889119112556
